site_id,site_name,site_type,sector,primary_product,province,latitude,longitude,area_ha,zone_classification,category,status,legal_basis,developer,reliability_req,grid_region_id,capacity_annual,capacity_annual_tonnes,technology,parent_company,cbam_product_type,business_sectors,data_vintage
industropolis-batang,Industropolis Batang,kek,mixed,,Central Java,-6.930301,109.9617023,2886.87,Industri dan Pariwisata,Manufacturing,Active,Government Regulation (PP) Number 12 of 2025,PT Kawasan Industri Terpadu Batang,0.8,JAVA_BALI,,,,PT Kawasan Industri Terpadu Batang,,Petrochemical Industry;Area Infrastructure Preparation;Import Substitution;Logistics;Electronic Industry;Automotive Industry;Tourism;Food & Beverage Industry;Wood Processing Industry;Furniture & Toys Industry;Textile & Clothing Industry;Development and Management;Healthcare;Medical Device Industry,2026-04-17
batam-tourism-and-international-healthcare,Batam Tourism and International Healthcare,kek,mixed,,Riau Islands,1.1377283591127,103.92457856774,47.17,Jasa lainnya,Service,Active,Government Regulation (PP) Number 39 of 2024,PT Karunia Praja Pesona,0.6,SUMATERA,,,,PT Karunia Praja Pesona,,Healthcare;Development and Management;Tourism,2026-04-17
bumi-serpong-damai,"Banten International Education, Technology, and Health",kek,mixed,,Banten,-6.308799293523,106.65753024663,59.68,Jasa lainnya,Service,Active,Government Regulation No. 38 of 2024,PT Surya Inter Wisesa,0.6,JAVA_BALI,,,,PT Surya Inter Wisesa,,Development and Management;Healthcare;Digital Technology Industry;Education,2026-04-17
setangga,Setangga,kek,mixed,,South Kalimantan,-3.2813775344249,116.07748257442,,,Manufacturing,Active,Government Regulation Number 26 of 2024,PT Dua Samudera Perkasa,0.8,KALIMANTAN,,,,PT Dua Samudera Perkasa,,Development and Management;Base Metal Industry;Logistics;Palm Oil Processing Industry;Area Infrastructure Preparation,2026-04-17
tanjung-sauh,Tanjung Sauh,kek,mixed,,Riau Islands,1.0429294494269,104.17274106649,,,Manufacturing,Active,Government Regulation Number 24 of 2024,PT BATAMRAYA SUKSES PERKASA,0.8,SUMATERA,,,,PT BATAMRAYA SUKSES PERKASA,,Textile & Clothing Industry;Development and Management;Electronic Industry;Logistics;Area Infrastructure Preparation;Ship and Boat Building Industry,2026-04-17
kek-arun-lhokseumawe,Arun Lhokseumawe,kek,mixed,,Aceh,5.2199197298726,97.080259039528,2622.48,Industri,Manufacturing,Active,Government Regulation Number 5 of 2017,PT Patriot Nusantara Aceh,0.8,SUMATERA,,,,PT Patriot Nusantara Aceh,,Palm Oil Processing Industry;Petrochemical Industry;Logistics;Development and Management;Area Infrastructure Preparation;Wood Processing Industry;Energy,2026-04-17
kek-sanur,Sanur,kek,mixed,,Bali,-8.6942352931407,115.26295962249,41.2599625886,Pariwisata,Service,Active,Government Regulation Number 41 of 2022,PT Hotel Indonesia Natour,0.4,JAVA_BALI,,,,PT Hotel Indonesia Natour,,Tourism;Healthcare;Area Infrastructure Preparation;Development and Management,2026-04-17
kek-kendal,Kendal,kek,mixed,,Central Java,-6.9355648813555,110.24833446931,1000.0,Industri,Manufacturing,Active,PP no 85 2019,PT Kawasan Industri Kendal,0.8,JAVA_BALI,,,,PT Kawasan Industri Kendal,,Automotive Industry;Logistics;Electronic Industry;Food & Beverage Industry;Development and Management;Textile & Clothing Industry;Area Infrastructure Preparation;Food & Beverage Industry;Automotive Industry,2026-04-17
kek-sorong,Sorong,kek,mixed,,West Papua,-1.0292733746334,131.24345068184,523.7,Industri,Manufacturing,Active,Government Regulation Number 31 of 2016,PT Malamoi Olom Wobok,0.8,PAPUA,,,,PT Malamoi Olom Wobok,,Palm Oil Processing Industry;Logistics;Forestry (Sago) Industry;Nickel Smelter Industry;Development and Management;Area Infrastructure Preparation,2026-04-17
kek-singhasari,Singhasari,kek,mixed,,East Java,-7.5151962757576,112.7434025685,120.3,Pariwisata,Service,Active,PP 68 Tahun 2019,PT Intelegensia Grahatama,0.6,JAVA_BALI,,,,PT Intelegensia Grahatama,,Development and Management;Digital Technology Industry;Tourism;Area Infrastructure Preparation,2026-04-17
